week_ending,store_id,sku,qty_sold
2026-04-12,S013,SKU00057,1
2026-04-05,S013,SKU00057,2
2026-03-29,S013,SKU00057,1
2026-03-22,S013,SKU00057,1
2026-03-15,S013,SKU00057,1
2026-03-08,S013,SKU00057,1
2026-03-01,S013,SKU00057,1
2026-02-22,S013,SKU00057,2
2026-04-12,S044,SKU00033,16
2026-04-05,S044,SKU00033,10
2026-03-29,S044,SKU00033,11
2026-03-22,S044,SKU00033,11
2026-03-15,S044,SKU00033,16
2026-03-08,S044,SKU00033,10
2026-03-01,S044,SKU00033,6
2026-02-22,S044,SKU00033,10
2026-04-12,S040,SKU00062,1
2026-04-05,S040,SKU00062,1
2026-03-22,S040,SKU00062,2
2026-03-15,S040,SKU00062,1
2026-03-08,S040,SKU00062,1
2026-03-01,S040,SKU00062,2
2026-02-22,S040,SKU00062,3
2026-04-12,S064,SKU00033,3
2026-04-05,S064,SKU00033,6
2026-03-29,S064,SKU00033,1
2026-03-22,S064,SKU00033,2
2026-03-15,S064,SKU00033,5
2026-03-08,S064,SKU00033,3
2026-03-01,S064,SKU00033,1
2026-02-22,S064,SKU00033,4
2026-04-12,S028,SKU00054,2
2026-04-05,S028,SKU00054,1
2026-03-29,S028,SKU00054,1
2026-03-22,S028,SKU00054,1
2026-03-08,S028,SKU00054,1
2026-03-01,S028,SKU00054,2
2026-02-22,S028,SKU00054,2
2026-04-12,S021,SKU00004,19
2026-04-05,S021,SKU00004,14
2026-03-29,S021,SKU00004,27
2026-03-22,S021,SKU00004,23
2026-03-15,S021,SKU00004,23
2026-03-08,S021,SKU00004,21
2026-03-01,S021,SKU00004,18
2026-02-22,S021,SKU00004,7
2026-04-12,S026,SKU00016,3
2026-04-05,S026,SKU00016,2
2026-03-29,S026,SKU00016,4
2026-03-22,S026,SKU00016,3
2026-03-15,S026,SKU00016,3
2026-03-08,S026,SKU00016,2
2026-03-01,S026,SKU00016,2
2026-02-22,S026,SKU00016,3
2026-04-12,S018,SKU00038,23
2026-04-05,S018,SKU00038,16
2026-03-29,S018,SKU00038,17
2026-03-22,S018,SKU00038,18
2026-03-15,S018,SKU00038,22
2026-03-08,S018,SKU00038,15
2026-03-01,S018,SKU00038,17
2026-02-22,S018,SKU00038,13
2026-04-12,S040,SKU00042,2
2026-04-05,S040,SKU00042,2
2026-03-29,S040,SKU00042,4
2026-03-22,S040,SKU00042,2
