store_id,sku,in_range
S001,SKU00002,1
S001,SKU00003,1
S001,SKU00004,1
S001,SKU00005,1
S001,SKU00006,1
S001,SKU00007,1
S001,SKU00008,1
S001,SKU00009,1
S001,SKU00010,1
S001,SKU00011,1
S001,SKU00013,1
S001,SKU00014,1
S001,SKU00015,1
S001,SKU00016,1
S001,SKU00018,1
S001,SKU00019,1
S001,SKU00020,1
S001,SKU00021,1
S001,SKU00022,1
S001,SKU00023,1
S001,SKU00024,1
S001,SKU00025,1
S001,SKU00026,1
S001,SKU00028,1
S001,SKU00029,1
S001,SKU00030,1
S001,SKU00031,1
S001,SKU00032,1
S001,SKU00033,1
S001,SKU00034,1
S001,SKU00035,1
S001,SKU00036,1
S001,SKU00038,1
S001,SKU00040,1
S001,SKU00041,1
S001,SKU00042,1
S001,SKU00043,1
S001,SKU00044,1
S001,SKU00045,1
S001,SKU00046,1
S001,SKU00047,1
S001,SKU00048,1
S001,SKU00049,1
S001,SKU00051,1
S001,SKU00052,1
S001,SKU00053,1
S001,SKU00054,1
S001,SKU00056,1
S001,SKU00057,1
S001,SKU00058,1
S001,SKU00059,1
S001,SKU00060,1
S001,SKU00061,1
S001,SKU00062,1
S001,SKU00063,1
S001,SKU00064,1
S001,SKU00065,1
S001,SKU00066,1
S001,SKU00067,1
S001,SKU00069,1
S001,SKU00070,1
S001,SKU00071,1
S001,SKU00072,1
S001,SKU00073,1
S001,SKU00075,1
S001,SKU00076,1
S001,SKU00077,1
S001,SKU00078,1
S001,SKU00079,1
S001,SKU00080,1
S002,SKU00001,1
S002,SKU00002,1
S002,SKU00003,1
S002,SKU00004,1
S002,SKU00005,1
S002,SKU00006,1
S002,SKU00007,1
S002,SKU00008,1
S002,SKU00009,1
S002,SKU00010,1
S002,SKU00012,1
S002,SKU00013,1
S002,SKU00014,1
S002,SKU00015,1
S002,SKU00016,1
S002,SKU00017,1
S002,SKU00018,1
S002,SKU00019,1
S002,SKU00020,1
S002,SKU00021,1
S002,SKU00022,1
S002,SKU00023,1
S002,SKU00025,1
S002,SKU00026,1
S002,SKU00027,1
S002,SKU00028,1
S002,SKU00029,1
S002,SKU00030,1
S002,SKU00032,1
S002,SKU00033,1
S002,SKU00034,1
S002,SKU00035,1
S002,SKU00036,1
S002,SKU00037,1
S002,SKU00038,1
S002,SKU00039,1
S002,SKU00040,1
S002,SKU00041,1
S002,SKU00042,1
S002,SKU00044,1
S002,SKU00045,1
S002,SKU00046,1
S002,SKU00047,1
S002,SKU00048,1
S002,SKU00049,1
S002,SKU00050,1
S002,SKU00051,1
S002,SKU00052,1
S002,SKU00053,1
S002,SKU00055,1
S002,SKU00056,1
S002,SKU00057,1
S002,SKU00058,1
S002,SKU00060,1
S002,SKU00063,1
S002,SKU00064,1
S002,SKU00065,1
S002,SKU00066,1
S002,SKU00067,1
S002,SKU00068,1
S002,SKU00069,1
S002,SKU00071,1
S002,SKU00072,1
S002,SKU00073,1
S002,SKU00074,1
S002,SKU00077,1
S002,SKU00078,1
S002,SKU00079,1
S002,SKU00080,1
S003,SKU00002,1
S003,SKU00003,1
S003,SKU00004,1
S003,SKU00005,1
S003,SKU00006,1
S003,SKU00007,1
S003,SKU00008,1
S003,SKU00009,1
S003,SKU00011,1
S003,SKU00012,1
S003,SKU00013,1
S003,SKU00014,1
S003,SKU00015,1
S003,SKU00016,1
S003,SKU00017,1
S003,SKU00018,1
S003,SKU00019,1
S003,SKU00020,1
S003,SKU00021,1
S003,SKU00022,1
S003,SKU00023,1
S003,SKU00025,1
S003,SKU00026,1
S003,SKU00027,1
S003,SKU00028,1
S003,SKU00029,1
S003,SKU00030,1
S003,SKU00031,1
S003,SKU00032,1
S003,SKU00033,1
S003,SKU00034,1
S003,SKU00037,1
S003,SKU00038,1
S003,SKU00039,1
S003,SKU00041,1
S003,SKU00042,1
S003,SKU00043,1
S003,SKU00044,1
S003,SKU00045,1
S003,SKU00046,1
S003,SKU00047,1
S003,SKU00049,1
S003,SKU00050,1
S003,SKU00051,1
S003,SKU00052,1
S003,SKU00053,1
S003,SKU00055,1
S003,SKU00056,1
S003,SKU00057,1
S003,SKU00058,1
S003,SKU00059,1
S003,SKU00060,1
S003,SKU00061,1
S003,SKU00062,1
S003,SKU00063,1
S003,SKU00064,1
S003,SKU00065,1
S003,SKU00067,1
S003,SKU00068,1
S003,SKU00069,1
S003,SKU00070,1
S003,SKU00071,1
S003,SKU00072,1
S003,SKU00073,1
S003,SKU00074,1
S003,SKU00075,1
S003,SKU00076,1
S003,SKU00077,1
S003,SKU00078,1
S003,SKU00079,1
S003,SKU00080,1
S004,SKU00002,1
S004,SKU00003,1
S004,SKU00004,1
S004,SKU00005,1
S004,SKU00006,1
S004,SKU00007,1
S004,SKU00008,1
S004,SKU00009,1
S004,SKU00010,1
S004,SKU00011,1
S004,SKU00012,1
S004,SKU00013,1
S004,SKU00014,1
S004,SKU00015,1
S004,SKU00016,1
S004,SKU00017,1
S004,SKU00018,1
S004,SKU00019,1
S004,SKU00021,1
S004,SKU00023,1
S004,SKU00024,1
S004,SKU00025,1
S004,SKU00026,1
S004,SKU00027,1
S004,SKU00029,1
S004,SKU00030,1
S004,SKU00031,1
S004,SKU00032,1
S004,SKU00033,1
S004,SKU00034,1
S004,SKU00035,1
S004,SKU00036,1
S004,SKU00037,1
S004,SKU00038,1
S004,SKU00039,1
S004,SKU00040,1
S004,SKU00041,1
S004,SKU00042,1
S004,SKU00043,1
S004,SKU00044,1
S004,SKU00045,1
S004,SKU00046,1
S004,SKU00048,1
S004,SKU00049,1
S004,SKU00050,1
S004,SKU00052,1
S004,SKU00054,1
S004,SKU00056,1
S004,SKU00058,1
S004,SKU00059,1
S004,SKU00060,1
S004,SKU00061,1
S004,SKU00062,1
S004,SKU00063,1
S004,SKU00064,1
S004,SKU00065,1
S004,SKU00066,1
S004,SKU00067,1
S004,SKU00068,1
S004,SKU00069,1
S004,SKU00071,1
S004,SKU00072,1
S004,SKU00073,1
S004,SKU00074,1
S004,SKU00075,1
S004,SKU00076,1
S004,SKU00077,1
S004,SKU00078,1
S004,SKU00079,1
S004,SKU00080,1
S005,SKU00001,1
S005,SKU00002,1
S005,SKU00003,1
S005,SKU00004,1
S005,SKU00005,1
S005,SKU00006,1
S005,SKU00007,1
S005,SKU00008,1
S005,SKU00010,1
S005,SKU00012,1
S005,SKU00013,1
S005,SKU00014,1
S005,SKU00015,1
S005,SKU00016,1
S005,SKU00017,1
S005,SKU00018,1
S005,SKU00019,1
S005,SKU00020,1
S005,SKU00021,1
S005,SKU00022,1
S005,SKU00023,1
S005,SKU00025,1
S005,SKU00026,1
S005,SKU00027,1
S005,SKU00028,1
S005,SKU00029,1
S005,SKU00030,1
S005,SKU00031,1
S005,SKU00032,1
S005,SKU00033,1
S005,SKU00034,1
S005,SKU00035,1
S005,SKU00036,1
S005,SKU00037,1
S005,SKU00038,1
S005,SKU00039,1
S005,SKU00040,1
S005,SKU00041,1
S005,SKU00042,1
S005,SKU00043,1
S005,SKU00044,1
S005,SKU00045,1
S005,SKU00046,1
S005,SKU00047,1
S005,SKU00048,1
S005,SKU00049,1
S005,SKU00050,1
S005,SKU00051,1
S005,SKU00052,1
S005,SKU00053,1
S005,SKU00055,1
S005,SKU00056,1
S005,SKU00057,1
S005,SKU00058,1
S005,SKU00059,1
S005,SKU00060,1
S005,SKU00061,1
S005,SKU00063,1
S005,SKU00065,1
S005,SKU00066,1
S005,SKU00067,1
S005,SKU00068,1
S005,SKU00069,1
S005,SKU00070,1
S005,SKU00071,1
S005,SKU00072,1
S005,SKU00073,1
S005,SKU00074,1
S005,SKU00075,1
S005,SKU00076,1
S005,SKU00077,1
S005,SKU00078,1
S005,SKU00079,1
S005,SKU00080,1
S006,SKU00001,1
S006,SKU00002,1
S006,SKU00003,1
S006,SKU00004,1
S006,SKU00005,1
S006,SKU00006,1
S006,SKU00007,1
S006,SKU00008,1
S006,SKU00009,1
S006,SKU00010,1
S006,SKU00011,1
S006,SKU00012,1
S006,SKU00013,1
S006,SKU00014,1
S006,SKU00015,1
S006,SKU00017,1
S006,SKU00018,1
S006,SKU00019,1
S006,SKU00020,1
S006,SKU00021,1
S006,SKU00022,1
S006,SKU00023,1
S006,SKU00024,1
S006,SKU00025,1
S006,SKU00027,1
S006,SKU00028,1
S006,SKU00029,1
S006,SKU00030,1
S006,SKU00031,1
S006,SKU00032,1
S006,SKU00033,1
S006,SKU00034,1
S006,SKU00035,1
S006,SKU00036,1
S006,SKU00037,1
S006,SKU00038,1
S006,SKU00039,1
S006,SKU00040,1
S006,SKU00041,1
S006,SKU00042,1
S006,SKU00043,1
S006,SKU00044,1
S006,SKU00045,1
S006,SKU00046,1
S006,SKU00047,1
S006,SKU00048,1
S006,SKU00049,1
S006,SKU00050,1
S006,SKU00051,1
S006,SKU00052,1
S006,SKU00053,1
S006,SKU00054,1
S006,SKU00055,1
S006,SKU00056,1
S006,SKU00057,1
S006,SKU00058,1
S006,SKU00059,1
S006,SKU00060,1
S006,SKU00062,1
S006,SKU00063,1
S006,SKU00064,1
S006,SKU00065,1
S006,SKU00066,1
S006,SKU00068,1
S006,SKU00069,1
S006,SKU00070,1
S006,SKU00071,1
S006,SKU00072,1
S006,SKU00073,1
S006,SKU00074,1
S006,SKU00075,1
S006,SKU00076,1
S006,SKU00077,1
S006,SKU00078,1
S006,SKU00079,1
S006,SKU00080,1
S007,SKU00001,1
S007,SKU00003,1
S007,SKU00004,1
S007,SKU00005,1
S007,SKU00006,1
S007,SKU00008,1
S007,SKU00009,1
S007,SKU00010,1
S007,SKU00011,1
S007,SKU00012,1
S007,SKU00013,1
S007,SKU00014,1
S007,SKU00015,1
S007,SKU00016,1
S007,SKU00017,1
S007,SKU00019,1
S007,SKU00020,1
S007,SKU00021,1
S007,SKU00022,1
S007,SKU00023,1
S007,SKU00024,1
S007,SKU00025,1
S007,SKU00026,1
S007,SKU00027,1
S007,SKU00029,1
S007,SKU00030,1
S007,SKU00031,1
S007,SKU00032,1
S007,SKU00033,1
S007,SKU00035,1
S007,SKU00036,1
S007,SKU00037,1
S007,SKU00038,1
S007,SKU00039,1
S007,SKU00040,1
S007,SKU00041,1
S007,SKU00042,1
S007,SKU00043,1
S007,SKU00044,1
S007,SKU00045,1
S007,SKU00046,1
S007,SKU00047,1
S007,SKU00048,1
S007,SKU00049,1
S007,SKU00050,1
S007,SKU00051,1
S007,SKU00052,1
S007,SKU00053,1
S007,SKU00054,1
S007,SKU00055,1
S007,SKU00056,1
S007,SKU00057,1
S007,SKU00058,1
S007,SKU00059,1
S007,SKU00061,1
S007,SKU00062,1
S007,SKU00063,1
S007,SKU00064,1
S007,SKU00065,1
S007,SKU00066,1
S007,SKU00067,1
S007,SKU00068,1
S007,SKU00069,1
S007,SKU00070,1
S007,SKU00071,1
S007,SKU00072,1
S007,SKU00073,1
S007,SKU00074,1
S007,SKU00075,1
S007,SKU00076,1
S007,SKU00077,1
S007,SKU00078,1
S007,SKU00079,1
S007,SKU00080,1
S008,SKU00001,1
S008,SKU00002,1
S008,SKU00003,1
S008,SKU00004,1
S008,SKU00005,1
S008,SKU00006,1
S008,SKU00007,1
S008,SKU00008,1
S008,SKU00009,1
S008,SKU00010,1
S008,SKU00012,1
S008,SKU00013,1
S008,SKU00014,1
S008,SKU00015,1
S008,SKU00016,1
S008,SKU00017,1
S008,SKU00018,1
S008,SKU00019,1
S008,SKU00020,1
S008,SKU00022,1
S008,SKU00023,1
S008,SKU00024,1
S008,SKU00025,1
S008,SKU00026,1
S008,SKU00027,1
S008,SKU00028,1
S008,SKU00029,1
S008,SKU00030,1
S008,SKU00031,1
S008,SKU00032,1
S008,SKU00034,1
S008,SKU00035,1
S008,SKU00036,1
S008,SKU00037,1
S008,SKU00038,1
S008,SKU00039,1
S008,SKU00040,1
S008,SKU00041,1
S008,SKU00042,1
S008,SKU00044,1
S008,SKU00045,1
S008,SKU00046,1
S008,SKU00047,1
S008,SKU00048,1
S008,SKU00049,1
S008,SKU00050,1
S008,SKU00051,1
S008,SKU00052,1
S008,SKU00054,1
S008,SKU00055,1
S008,SKU00056,1
S008,SKU00057,1
S008,SKU00059,1
S008,SKU00060,1
S008,SKU00061,1
S008,SKU00062,1
S008,SKU00063,1
S008,SKU00064,1
S008,SKU00065,1
S008,SKU00066,1
S008,SKU00067,1
S008,SKU00068,1
S008,SKU00069,1
S008,SKU00070,1
S008,SKU00071,1
S008,SKU00072,1
S008,SKU00073,1
S008,SKU00075,1
S008,SKU00076,1
S008,SKU00077,1
S008,SKU00079,1
S008,SKU00080,1
S009,SKU00001,1
S009,SKU00003,1
S009,SKU00004,1
S009,SKU00005,1
S009,SKU00006,1
S009,SKU00007,1
S009,SKU00008,1
S009,SKU00009,1
S009,SKU00010,1
S009,SKU00011,1
S009,SKU00012,1
S009,SKU00014,1
S009,SKU00015,1
S009,SKU00016,1
S009,SKU00017,1
S009,SKU00018,1
S009,SKU00019,1
S009,SKU00020,1
S009,SKU00021,1
S009,SKU00023,1
S009,SKU00024,1
S009,SKU00027,1
S009,SKU00028,1
S009,SKU00029,1
S009,SKU00030,1
S009,SKU00031,1
S009,SKU00032,1
S009,SKU00034,1
S009,SKU00035,1
S009,SKU00036,1
S009,SKU00037,1
S009,SKU00038,1
S009,SKU00039,1
S009,SKU00040,1
S009,SKU00041,1
S009,SKU00042,1
S009,SKU00043,1
S009,SKU00044,1
S009,SKU00045,1
S009,SKU00047,1
S009,SKU00048,1
S009,SKU00049,1
S009,SKU00050,1
S009,SKU00051,1
S009,SKU00053,1
S009,SKU00054,1
S009,SKU00056,1
S009,SKU00057,1
S009,SKU00058,1
S009,SKU00059,1
S009,SKU00060,1
S009,SKU00061,1
S009,SKU00062,1
S009,SKU00063,1
S009,SKU00064,1
S009,SKU00065,1
S009,SKU00067,1
S009,SKU00068,1
S009,SKU00069,1
