store_id,sku,store_soh
S065,SKU00018,10
S016,SKU00051,0
S020,SKU00006,11
S002,SKU00066,0
S018,SKU00029,6
S050,SKU00014,13
S038,SKU00019,18
S005,SKU00058,5
S009,SKU00024,18
S001,SKU00038,15
S016,SKU00028,5
S060,SKU00035,5
S023,SKU00030,1
S008,SKU00071,2
S032,SKU00003,10
S009,SKU00006,9
S005,SKU00016,5
S017,SKU00020,17
S046,SKU00035,10
S022,SKU00040,8
S025,SKU00038,1
S028,SKU00034,18
S013,SKU00045,18
S042,SKU00073,2
S037,SKU00046,12
S022,SKU00011,11
S057,SKU00032,10
S003,SKU00008,12
S011,SKU00003,20
S013,SKU00055,4
S004,SKU00019,15
S014,SKU00037,19
S004,SKU00045,20
S024,SKU00019,7
S024,SKU00045,3
S046,SKU00021,15
S017,SKU00025,6
S046,SKU00043,6
S017,SKU00010,16
S063,SKU00015,15
S047,SKU00040,12
S044,SKU00051,0
S026,SKU00067,2
S026,SKU00064,3
S035,SKU00036,3
S053,SKU00066,3
S029,SKU00060,4
S035,SKU00039,6
S055,SKU00020,5
S005,SKU00070,2
S031,SKU00023,3
S057,SKU00078,0
S032,SKU00034,2
S034,SKU00060,4
S013,SKU00001,1
S017,SKU00029,1
S036,SKU00059,4
S057,SKU00062,3
S035,SKU00058,4
S005,SKU00073,6
S016,SKU00080,0
S024,SKU00001,0
S011,SKU00034,24
S022,SKU00078,7
S001,SKU00031,16
S037,SKU00074,6
S014,SKU00077,4
S006,SKU00024,13
S012,SKU00061,3
S020,SKU00076,11
S021,SKU00074,3
S022,SKU00062,5
S039,SKU00048,6
S030,SKU00028,6
S028,SKU00060,1
S004,SKU00066,8
S024,SKU00066,5
S031,SKU00067,2
S031,SKU00064,1
S028,SKU00027,12
S019,SKU00061,2
S032,SKU00069,0
S060,SKU00056,1
S056,SKU00064,2
S009,SKU00076,7
S023,SKU00019,5
S047,SKU00062,1
S025,SKU00050,4
S008,SKU00017,20
S001,SKU00063,7
S029,SKU00008,6
S039,SKU00027,13
S005,SKU00031,25
S044,SKU00080,1
S008,SKU00030,9
S010,SKU00051,8
S025,SKU00063,4
S022,SKU00024,13
S034,SKU00008,7
S002,SKU00003,24
S014,SKU00004,19
S035,SKU00070,6
S009,SKU00065,3
S021,SKU00020,6
S018,SKU00059,9
S026,SKU00053,5
S001,SKU00015,19
S032,SKU00060,6
S001,SKU00075,7
S007,SKU00023,13
S032,SKU00027,3
S035,SKU00073,5
S037,SKU00025,5
S049,SKU00045,18
S042,SKU00054,0
S063,SKU00041,6
S011,SKU00060,5
S047,SKU00024,9
S049,SKU00055,5
S001,SKU00054,3
S011,SKU00027,5
S044,SKU00005,5
S058,SKU00003,11
S028,SKU00008,7
S033,SKU00003,1
S034,SKU00040,10
S040,SKU00057,7
S012,SKU00044,19
S047,SKU00006,8
S036,SKU00080,7
S040,SKU00018,3
S018,SKU00028,7
S020,SKU00018,1
S002,SKU00034,0
S023,SKU00066,3
S008,SKU00014,11
S005,SKU00015,3
S014,SKU00050,13
S037,SKU00029,7
S014,SKU00042,13
S007,SKU00067,1
S005,SKU00075,4
S006,SKU00023,5
S019,SKU00011,5
S019,SKU00044,15
S039,SKU00008,2
S046,SKU00077,1
S053,SKU00003,0
S054,SKU00023,8
S005,SKU00022,7
S014,SKU00063,4
S035,SKU00031,8
S009,SKU00018,17
S020,SKU00009,24
S045,SKU00024,0
S041,SKU00002,3
S041,SKU00061,0
S052,SKU00079,0
S010,SKU00080,9
S017,SKU00059,6
S036,SKU00005,13
S006,SKU00065,8
S048,SKU00047,14
S002,SKU00069,9
S015,SKU00042,14
S011,SKU00008,26
S012,SKU00078,7
S046,SKU00033,18
S040,SKU00021,6
S008,SKU00019,14
S002,SKU00072,9
S013,SKU00005,18
S030,SKU00048,9
S054,SKU00064,0
S007,SKU00047,1
S012,SKU00062,4
S025,SKU00071,4
S027,SKU00078,5
S063,SKU00030,13
S004,SKU00003,27
S020,SKU00043,0
S019,SKU00078,0
S007,SKU00057,4
S065,SKU00004,2
S042,SKU00007,2
S010,SKU00005,5
S017,SKU00028,13
S019,SKU00062,6
S038,SKU00034,1
S001,SKU00041,16
S035,SKU00015,1
S040,SKU00068,3
S002,SKU00060,11
S020,SKU00068,7
S030,SKU00060,3
S035,SKU00075,5
S051,SKU00006,0
S002,SKU00027,18
S009,SKU00043,17
S030,SKU00027,8
S033,SKU00048,15
S052,SKU00064,2
S047,SKU00076,4
S048,SKU00035,14
S008,SKU00001,16
S062,SKU00055,2
S006,SKU00047,19
S023,SKU00028,0
S020,SKU00012,8
S007,SKU00053,7
S035,SKU00054,4
S059,SKU00060,1
S007,SKU00035,11
S034,SKU00024,5
S009,SKU00068,0
S003,SKU00023,6
S004,SKU00034,23
S006,SKU00057,3
S024,SKU00034,15
S053,SKU00048,1
S046,SKU00042,10
S012,SKU00006,2
S052,SKU00076,0
S041,SKU00011,0
S041,SKU00044,10
S058,SKU00060,0
S005,SKU00007,18
S065,SKU00050,3
S005,SKU00041,19
S008,SKU00066,8
S058,SKU00027,11
S031,SKU00056,7
S007,SKU00021,15
S014,SKU00071,3
S009,SKU00012,15
S026,SKU00039,6
S033,SKU00027,8
S012,SKU00079,7
S042,SKU00020,8
S019,SKU00006,19
S005,SKU00074,5
S057,SKU00018,0
S017,SKU00080,8
S018,SKU00048,4
S013,SKU00069,0
S019,SKU00079,2
S064,SKU00079,6
S026,SKU00058,6
S003,SKU00067,0
S003,SKU00064,7
S037,SKU00059,5
S006,SKU00035,7
S013,SKU00072,9
S015,SKU00022,15
S004,SKU00069,2
S024,SKU00069,0
S030,SKU00008,1
S038,SKU00060,2
S022,SKU00018,0
S001,SKU00030,11
S004,SKU00072,1
S038,SKU00027,0
S025,SKU00017,2
S057,SKU00009,1
S045,SKU00065,4
S006,SKU00021,13
S041,SKU00078,2
S018,SKU00060,4
S025,SKU00030,13
S063,SKU00055,0
S031,SKU00036,6
S005,SKU00049,9
S041,SKU00062,6
S005,SKU00020,5
S022,SKU00009,0
S047,SKU00018,14
S032,SKU00024,0
S056,SKU00036,7
S037,SKU00028,7
S042,SKU00026,7
S002,SKU00040,15
S004,SKU00027,28
S021,SKU00028,0
S003,SKU00047,9
S029,SKU00023,7
S012,SKU00052,3
S005,SKU00010,16
S007,SKU00056,2
S015,SKU00046,13
S063,SKU00001,2
S040,SKU00077,6
S013,SKU00002,8
S013,SKU00061,5
S034,SKU00023,3
S056,SKU00058,4
S012,SKU00076,4
S017,SKU00048,1
S020,SKU00077,0
S027,SKU00052,2
S046,SKU00022,8
S055,SKU00005,15
S019,SKU00052,11
S031,SKU00016,9
S004,SKU00002,7
S026,SKU00073,0
S027,SKU00076,3
S010,SKU00061,7
S019,SKU00076,11
S014,SKU00017,6
S045,SKU00057,0
S037,SKU00003,15
S052,SKU00009,11
S065,SKU00071,7
S014,SKU00030,3
S029,SKU00064,0
S022,SKU00068,5
S029,SKU00067,0
S003,SKU00053,8
S005,SKU00026,1
S023,SKU00048,5
S017,SKU00060,7
S047,SKU00043,2
S028,SKU00023,3
S041,SKU00079,3
S040,SKU00033,1
S043,SKU00035,9
S054,SKU00056,4
S035,SKU00049,4
S040,SKU00004,12
S021,SKU00080,6
S052,SKU00013,15
S008,SKU00003,11
S020,SKU00004,11
S007,SKU00036,1
S060,SKU00046,15
S001,SKU00045,14
S007,SKU00039,9
S038,SKU00040,1
S015,SKU00074,7
S042,SKU00055,3
S039,SKU00023,4
S045,SKU00035,1
S023,SKU00060,2
S046,SKU00046,8
S056,SKU00070,2
S031,SKU00073,0
S023,SKU00027,8
S025,SKU00019,9
S051,SKU00018,13
S028,SKU00065,1
S007,SKU00058,8
S009,SKU00004,12
S056,SKU00073,3
S013,SKU00040,25
S045,SKU00021,2
S014,SKU00014,17
S057,SKU00037,6
S013,SKU00011,21
S013,SKU00044,4
S004,SKU00040,8
S024,SKU00040,4
S007,SKU00016,22
S016,SKU00079,6
S011,SKU00023,13
S054,SKU00036,12
S024,SKU00011,0
S060,SKU00007,9
S008,SKU00034,3
S039,SKU00064,3
S039,SKU00067,2
S040,SKU00042,3
S020,SKU00050,3
S020,SKU00042,6
S015,SKU00020,11
S005,SKU00055,6
S013,SKU00032,6
S019,SKU00018,17
S007,SKU00033,2
S025,SKU00001,7
S032,SKU00065,3
S060,SKU00074,0
S020,SKU00063,5
S051,SKU00013,3
S024,SKU00032,13
S034,SKU00034,3
S037,SKU00048,5
S001,SKU00066,8
S046,SKU00074,6
S015,SKU00025,23
S026,SKU00015,18
S029,SKU00053,1
S021,SKU00048,8
S041,SKU00076,0
S009,SKU00050,6
S011,SKU00065,0
S026,SKU00075,1
S009,SKU00042,7
S015,SKU00010,4
S051,SKU00043,4
S049,SKU00002,8
S023,SKU00008,4
S047,SKU00037,7
S014,SKU00019,20
S025,SKU00066,4
S019,SKU00009,18
S028,SKU00057,4
