receipt_id,shipment_id,sku,receipt_date,qty,invoice_ccy,invoice_unit_cost
RCV-0001,SHP-2026-001,SKU002,2026-03-10,269,USD,18.37
RCV-0002,SHP-2026-001,SKU015,2026-03-10,254,USD,9.79
RCV-0003,SHP-2026-001,SKU008,2026-03-10,120,USD,12.15
RCV-0004,SHP-2026-001,SKU008,2026-03-10,96,USD,16.09
RCV-0005,SHP-2026-001,SKU011,2026-03-10,106,USD,6.45
RCV-0006,SHP-2026-001,SKU007,2026-03-10,131,USD,16.67
RCV-0007,SHP-2026-002,SKU018,2026-03-18,266,USD,13.54
RCV-0008,SHP-2026-002,SKU004,2026-03-18,247,USD,10.11
RCV-0009,SHP-2026-002,SKU004,2026-03-18,289,USD,12.47
RCV-0010,SHP-2026-002,SKU012,2026-03-18,333,USD,17.77
RCV-0011,SHP-2026-002,SKU015,2026-03-18,55,USD,14.88
RCV-0012,SHP-2026-002,SKU011,2026-03-18,108,USD,14.91
RCV-0013,SHP-2026-002,SKU016,2026-03-18,324,USD,16.01
RCV-0014,SHP-2026-002,SKU009,2026-03-18,378,USD,9.44
RCV-0015,SHP-2026-002,SKU008,2026-03-18,200,USD,10.96
RCV-0016,SHP-2026-003,SKU013,2026-03-22,282,EUR,4.56
RCV-0017,SHP-2026-003,SKU003,2026-03-22,184,EUR,21.51
RCV-0018,SHP-2026-003,SKU003,2026-03-22,141,EUR,13.38
RCV-0019,SHP-2026-003,SKU007,2026-03-22,104,EUR,19.73
RCV-0020,SHP-2026-004,SKU018,2026-04-02,202,EUR,19.23
RCV-0021,SHP-2026-004,SKU010,2026-04-02,309,EUR,15.16
RCV-0022,SHP-2026-004,SKU009,2026-04-02,128,EUR,11.04
RCV-0023,SHP-2026-004,SKU012,2026-04-02,132,EUR,13.94
RCV-0024,SHP-2026-004,SKU009,2026-04-02,321,EUR,20.57
RCV-0025,SHP-2026-004,SKU009,2026-04-02,356,EUR,10.17
RCV-0026,SHP-2026-004,SKU015,2026-04-02,59,EUR,6.46
RCV-0027,SHP-2026-005,SKU020,2026-04-05,235,GBP,16.24
RCV-0028,SHP-2026-005,SKU012,2026-04-05,207,GBP,6.97
RCV-0029,SHP-2026-005,SKU006,2026-04-05,173,GBP,16.23
RCV-0030,SHP-2026-005,SKU008,2026-04-05,90,GBP,4.74
RCV-0031,SHP-2026-005,SKU011,2026-04-05,298,GBP,15.33
RCV-0032,SHP-2026-005,SKU009,2026-04-05,322,GBP,14.6
RCV-0033,SHP-2026-006,SKU019,2026-04-11,115,USD,14.56
RCV-0034,SHP-2026-006,SKU007,2026-04-11,331,USD,6.64
RCV-0035,SHP-2026-006,SKU003,2026-04-11,320,USD,17.96
RCV-0036,SHP-2026-006,SKU009,2026-04-11,266,USD,19.43
RCV-0037,SHP-2026-006,SKU003,2026-04-11,326,USD,16.08
RCV-0038,SHP-2026-006,SKU018,2026-04-11,152,USD,15.41
RCV-0039,SHP-2026-006,SKU018,2026-04-11,254,USD,19.92
RCV-0040,SHP-2026-006,SKU019,2026-04-11,382,USD,9.97
