sku,warehouse_soh,incoming_stock
SKU00001,341,71
SKU00002,333,0
SKU00003,60,0
SKU00004,61,0
SKU00005,430,0
SKU00006,308,154
SKU00007,355,64
SKU00008,143,0
SKU00009,214,0
SKU00010,350,0
SKU00011,179,0
SKU00012,339,151
SKU00013,100,0
SKU00014,50,0
SKU00015,313,0
SKU00016,189,0
SKU00017,297,125
SKU00018,266,0
SKU00019,367,0
SKU00020,486,0
SKU00021,108,0
SKU00022,350,0
SKU00023,430,0
SKU00024,142,0
SKU00025,155,0
SKU00026,168,160
SKU00027,241,164
SKU00028,304,0
SKU00029,178,83
SKU00030,459,135
SKU00031,215,0
SKU00032,390,0
SKU00033,203,0
SKU00034,181,50
SKU00035,294,0
SKU00036,494,0
SKU00037,453,0
SKU00038,388,0
SKU00039,296,117
SKU00040,251,155
SKU00041,476,119
SKU00042,127,73
SKU00043,111,0
SKU00044,443,0
SKU00045,249,0
SKU00046,450,0
SKU00047,128,0
SKU00048,248,0
SKU00049,416,0
SKU00050,216,186
SKU00051,107,0
SKU00052,91,0
SKU00053,33,13
SKU00054,137,21
SKU00055,67,0
SKU00056,128,0
SKU00057,116,0
SKU00058,106,0
SKU00059,62,35
SKU00060,70,16
SKU00061,111,0
SKU00062,95,35
SKU00063,86,0
SKU00064,19,0
SKU00065,26,50
SKU00066,96,0
SKU00067,65,0
SKU00068,110,0
SKU00069,47,0
SKU00070,101,0
SKU00071,76,0
SKU00072,140,39
SKU00073,24,29
SKU00074,37,0
SKU00075,103,22
SKU00076,131,50
SKU00077,73,0
SKU00078,103,0
SKU00079,51,0
SKU00080,149,0
